country,summary,country_code(ISO3166),area(sq_km),commencement,continent,languages,no_of_language,vitality,families
Azerbaijan,"Azerbaijan is a country in Asia that is home to 10,223,000 people. It is also home to 13 living indigenous languages. One of these, North Azerbaijani, is the official language of the country. In addition, 5 living non-indigenous languages are established within the country. In formal education, 1 indigenous language is used as a language of instruction.",AZ,82658,1992,Asia,"dict_keys(['Armenian', 'Avar', 'Budukh', 'Khinalugh', 'Kryts', 'Lezgi', 'Muslim_Tat', 'North_Azerbaijani', 'Northern_Kurdish', 'Rutul', 'Talysh', 'Tsakhur', 'Udi'])",13,"['Institutional', '1', 'Stable', '4', 'Endangered', '8', 'Extinct', '0']","dict_keys(['Nakh-Daghestanian', 'Indo-European', 'Turkic'])"
Bahamas,"The Bahamas is a country in the Americas that is home to 396,900 people. It is also home to 1 living indigenous language, Bahamas English Creole. In addition, 2 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",BS,10010,1973,North America,dict_keys(['Bahamas_English_Creole']),1,"['Institutional', '0', 'Stable', '1', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Creole'])
Bahrain,"Bahrain is a country in Asia that is home to 1,702,000 people. It is also home to 1 living indigenous language, Baharna Spoken Arabic. In addition, 5 living non-indigenous languages are established within the country. One of these, Standard Arabic, is the official language of the country.",BH,760,1971,Asia,dict_keys(['Baharna_Spoken_Arabic']),1,"['Institutional', '1', 'Stable', '0', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Afro-Asiatic'])
Bangladesh,"Bangladesh is a country in Asia that is home to 166,303,000 people. It is also home to 36 living indigenous languages. One of these, Bengali, is the official language of the country. In addition, 6 living non-indigenous languages are established within the country. In formal education, 5 indigenous languages are used as languages of instruction.",BD,130170,1974,Asia,"dict_keys(['Atong', 'Bawm_Chin', 'Bengali', 'Bishnupuriya', 'Chak', 'Chakma', 'Chittagonian', 'Garo', 'Hajong', 'Khasi', 'Khumi_Chin', 'Koch', 'Koda', 'Kok_Borok', 'Kol', 'Kurux', 'Lyngngam', 'Marma', 'Megam', 'Meitei', 'Mizo', 'Mru', 'Oraon_Sadri', 'Pangkhua', 'Pnar', 'Rakhine', 'Rangpuri', 'Riang', 'Rohingya', 'Santhali', 'Sauria_Paharia', 'Sylheti', 'Tangchangya', 'Tippera', 'Usoi', 'War-Jaintia'])",36,"['Institutional', '6', 'Stable', '19', 'Endangered', '11', 'Extinct', '0']","dict_keys(['Sino-Tibetan', 'Indo-European', 'Austro-Asiatic', 'Dravidian'])"
Barbados,"Barbados is a country in the Americas that is home to 288,000 people. It is also home to 1 living indigenous language, Bajan. In addition, 2 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",BB,430,1966,North America,dict_keys(['Bajan']),1,"['Institutional', '0', 'Stable', '1', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Creole'])
Belarus,"Belarus is a country in Europe that is home to 9,380,000 people. It is also home to 2 living indigenous languages. One of these, Russian, is the official language of the country. Belarus was also home to 1 indigeneous language that is now extinct. In addition, 5 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",BY,202910,1945,Europe,"dict_keys(['Belarusian', 'Russian', 'Sudovian'])",3,"['Institutional', '1', 'Stable', '0', 'Endangered', '1', 'Extinct', '1']",dict_keys(['Indo-European'])
Belgium,"Belgium is a country in Europe that is home to 11,632,000 people. It is also home to 10 living indigenous languages. Two of these, Dutch and French, are the official languages of the country. Another, Standard German, is an official language in part of the country. In addition, 2 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",BE,30280,1945,Europe,"dict_keys(['Dutch', 'Flemish_Sign_Language', 'French', 'French_Belgian_Sign_Language', 'Limburgish', 'Luxembourgish', 'Picard', 'Standard_German', 'Walloon', 'West_Flemish'])",10,"['Institutional', '3', 'Stable', '4', 'Endangered', '3', 'Extinct', '0']","dict_keys(['Indo-European', 'Sign language'])"
Belize,"Belize is a country in the Americas that is home to 404,900 people. It is also home to 5 living indigenous languages. In addition, 3 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",BZ,22810,1981,North America,"dict_keys(['Belize_English_Creole', 'Garifuna', 'Kekchí', 'Mopán_Maya', 'Yucatec_Maya'])",5,"['Institutional', '1', 'Stable', '2', 'Endangered', '2', 'Extinct', '0']","dict_keys(['Mayan', 'Creole', 'Maipurean'])"
Benin,"Benin is a country in Africa that is home to 12,506,000 people. It is also home to 50 living indigenous languages. In addition, 5 living non-indigenous languages are established within the country. One of these, French, is the official language of the country.",BJ,112760,1960,Africa,"dict_keys(['Aguna', 'Aja', 'Anii', 'Anufo', 'Ayizo_Gbe', 'Baatonum', 'Biali', 'Boko', 'Borgu_Fulfulde', 'Ci_Gbe', 'Defi_Gbe', 'Dendi', 'Ditammari', 'Eastern_Xwla_Gbe', 'Ede_Cabe', 'Ede_Ica', 'Ede_Idaca', 'Ede_Ije', 'Fon', 'Foodo', 'Gbesi_Gbe', 'Gen', 'Gorgal_Fulfulde', 'Gourmanchéma', 'Gun', 'Ifè', 'Kabiyè', 'Kotafon_Gbe', 'Kura_Ede_Nago', 'Kyanga', 'Lama', 'Lukpa', 'Maxi_Gbe', 'Mbelime', 'Miyobe', 'Mokole', 'Nateni', 'Ngangam', 'Northern_Nago', 'Notre', 'Saxwe_Gbe', 'Southern_Nago', 'Tchumbuli', 'Tofin_Gbe', 'Waama', 'Waci_Gbe', 'Weme_Gbe', 'Western_Xwla_Gbe', 'Xwela_Gbe', 'Yom'])",50,"['Institutional', '4', 'Stable', '43', 'Endangered', '3', 'Extinct', '0']","dict_keys(['Niger-Congo', 'Nilo-Saharan'])"
Bhutan,"Bhutan is a country in Asia that is home to 772,000 people. It is also home to 21 living indigenous languages. One of these, Dzongkha, is the official language of the country. In addition, 2 living non-indigenous languages are established within the country. In formal education, 1 indigenous language is used as a language of instruction.",BT,38117,1971,Asia,"dict_keys(['Brokkat', 'Brokpake', 'Bumthangkha', 'Chalikha', 'Chocangacakha', 'Dakpakha', 'Dzalakha', 'Dzongkha', 'Gongduk', 'Khengkha', 'Kurtokha', 'Lakha', 'Layakha', 'Lepcha', 'Lhokpu', 'Lunanakha', 'Nepali', 'Nupbikha', 'Nyenkha', 'Olekha', 'Tshangla'])",21,"['Institutional', '2', 'Stable', '5', 'Endangered', '14', 'Extinct', '0']","dict_keys(['Sino-Tibetan', 'Indo-European'])"
Bolivia,"Bolivia is a country in the Americas that is home to 11,797,000 people. It is also home to 39 living indigenous languages. One of these, North Bolivian Quechua, is an official language in part of the country. Bolivia was also home to 4 indigenous languages that are now extinct. In addition, 4 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country. In formal education, 1 indigenous language is used as a language of instruction.",BO,1083300,1945,South America,"dict_keys(['Araona', 'Ayoreo', 'Baure', 'Bolivian_Sign_Language', 'Callawalla', 'Canichana', 'Cavineña', 'Cayubaba', 'Central_Aymara', 'Chané', 'Chipaya', 'Chiquitano', 'Chácobo', 'Eastern_Bolivian_Guaraní', 'Ese_Ejja', 'Guarayu', 'Ignaciano', 'Itene', 'Itonama', 'Jorá', 'Leco', 'Machinere', 'Movima', 'North_Bolivian_Quechua', 'Pacahuara', 'Paunaka', 'Pauserna', 'Puquina', 'Reyesano', 'Saraveca', 'Sirionó', 'South_Bolivian_Quechua', 'Tacana', 'Tapieté', 'Toromono', 'Trinitario', 'Tsimané', 'Uru', 'Weenhayek', 'Western_Bolivian_Guaraní', 'Yaminahua', 'Yuqui', 'Yuracare'])",43,"['Institutional', '1', 'Stable', '9', 'Endangered', '29', 'Extinct', '4']","dict_keys(['Language isolate', 'Tupian', 'Maipurean', 'Tacanan', 'Panoan', 'Chipaya-Uru', 'Quechuan', 'Aymaran', 'Chapacuran', 'Matacoan', 'Mosetenan', 'Sign language', 'Zamucoan'])"
Bosnia_and_Herzegovina,"Bosnia and Herzegovina is a country in Europe that is home to 3,321,000 people. It is also home to 2 living indigenous languages. One of these, Bosnian, is an official language of the country. In addition, 5 living non-indigenous languages are established within the country. Two of these, Croatian and Serbian, are also official languages of the country. In formal education, 1 indigenous language is used as a language of instruction.",BA,51000,1992,Europe,"dict_keys(['Bosnian', 'Bosnian_Sign_Language'])",2,"['Institutional', '1', 'Stable', '1', 'Endangered', '0', 'Extinct', '0']","dict_keys(['Indo-European', 'Sign language'])"
Botswana,"Botswana is a country in Africa that is home to 2,352,000 people. It is also home to 26 living indigenous languages. One of these, Setswana, is an official language of the country. Botswana was also home to 1 indigeneous language that is now extinct. In addition, 3 living non-indigenous languages are established within the country. One of these, English, is also an official language of the country. In formal education, 1 indigenous language is used as a language of instruction.",BW,566730,1966,Africa,"dict_keys(['!Xóõ', 'Afrikaans', 'Birwa', 'Gciriku', 'Herero', 'Ju hoansi', 'Kalanga', 'Kgalagadi', 'Khwedam', 'Kua', 'Kuhane', 'Kung-Ekoka', 'Lower_Nossob', 'Lozi', 'Mbukushu', 'Nambya', 'Naro', 'Ndebele', 'Setswana', 'Shua', 'Tshuwau', 'Tswapong', 'Yeyi', 'Gwi', 'ǁAni', 'ǁGana', 'ǂ Amkhoe'])",27,"['Institutional', '2', 'Stable', '14', 'Endangered', '10', 'Extinct', '1']","dict_keys(['Niger-Congo', 'Khoe-Kwadi', 'Kx’a', 'Tuu', 'Indo-European'])"
